[Sun Sep 11 22:05:50.921691 2022] [php:error] [pid 113977] [client 192.168.2.47:53418] PHP Fatal error:  Cannot redeclare App\\Http\\Controllers\\TestController::for1() in /srv/users/svkizypf/xtxerfg-m1/app/Http/Controllers/TestController.php on line 71
[Mon Sep 19 02:24:02.133597 2022] [php:error] [pid 76282] [client 192.168.2.102:59767] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:02.148563 2022] [php:error] [pid 76282] [client 192.168.2.102:59767] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:02.149481 2022] [php:error] [pid 76282] [client 192.168.2.102:59767] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 69632 bytes) in Unknown on line 0
[Mon Sep 19 02:24:04.648021 2022] [php:error] [pid 76324] [client 192.168.2.102:59774] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:04.649338 2022] [php:error] [pid 76324] [client 192.168.2.102:59774] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:04.651012 2022] [php:error] [pid 76324] [client 192.168.2.102:59774] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 69632 bytes) in Unknown on line 0
[Mon Sep 19 02:24:04.668532 2022] [php:error] [pid 76298] [client 192.168.2.102:59768] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:04.669390 2022] [php:error] [pid 76298] [client 192.168.2.102:59768] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:04.669753 2022] [php:error] [pid 76315] [client 192.168.2.102:59771] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:04.669934 2022] [php:error] [pid 76298] [client 192.168.2.102:59768] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 69632 bytes) in Unknown on line 0
[Mon Sep 19 02:24:04.670527 2022] [php:error] [pid 76315] [client 192.168.2.102:59771] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:04.671324 2022] [php:error] [pid 76315] [client 192.168.2.102:59771] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 69632 bytes) in Unknown on line 0
[Mon Sep 19 02:24:04.754551 2022] [php:error] [pid 76333] [client 192.168.2.102:59776] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:04.755118 2022] [php:error] [pid 76333] [client 192.168.2.102:59776] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:04.755541 2022] [php:error] [pid 76333] [client 192.168.2.102:59776] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 69632 bytes) in Unknown on line 0
[Mon Sep 19 02:24:05.597765 2022] [php:error] [pid 76379] [client 192.168.2.102:59778] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 40960 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:05.598388 2022] [php:error] [pid 76379] [client 192.168.2.102:59778] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:05.599352 2022] [php:error] [pid 76379] [client 192.168.2.102:59778] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 184320 bytes) in Unknown on line 0
[Mon Sep 19 02:24:11.567834 2022] [php:error] [pid 76390] [client 192.168.2.102:59782] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 142
[Mon Sep 19 02:24:11.568485 2022] [php:error] [pid 76390] [client 192.168.2.102:59782] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/composer/ClassLoader.php on line 480
[Mon Sep 19 02:24:11.568901 2022] [php:error] [pid 76390] [client 192.168.2.102:59782] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 69632 bytes) in Unknown on line 0
[Sun Sep 25 22:06:13.115809 2022] [php:error] [pid 68932] [client 192.168.2.80:59968] script '/srv/users/svkizypf/xtxerfg-m1/index.php' not found or unable to stat
[Sun Sep 25 22:06:13.115822 2022] [php:error] [pid 68933] [client 192.168.2.80:59969] script '/srv/users/svkizypf/xtxerfg-m1/index.php' not found or unable to stat
[Sun Oct 23 22:17:24.904533 2022] [php:error] [pid 126812] [client 192.168.2.147:55989] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /srv/users/svkizypf/xtxerfg-m1/app/Http/Controllers/FleshController.php on line 17
[Sun Oct 23 22:18:07.128838 2022] [php:error] [pid 127132] [client 192.168.2.147:55997] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /srv/users/svkizypf/xtxerfg-m1/app/Http/Controllers/FleshController.php on line 17
[Mon Oct 24 00:17:35.717741 2022] [php:error] [pid 78503] [client 192.168.2.80:51393] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /srv/users/svkizypf/xtxerfg-m1/app/Http/Controllers/CookieController.php on line 30
[Mon Oct 24 00:18:14.126128 2022] [php:error] [pid 79001] [client 192.168.2.80:51398] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /srv/users/svkizypf/xtxerfg-m1/app/Http/Controllers/CookieController.php on line 30
[Mon Oct 31 01:17:38.242307 2022] [php:error] [pid 119774] [client 192.168.2.114:65222] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:17:51.164948 2022] [php:error] [pid 120036] [client 192.168.2.114:65223] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:27.753285 2022] [php:error] [pid 120297] [client 192.168.2.114:65238] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:29.688175 2022] [php:error] [pid 120404] [client 192.168.2.114:61822] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:30.969772 2022] [php:error] [pid 120463] [client 192.168.2.114:61828] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:36.751096 2022] [php:error] [pid 120506] [client 192.168.2.114:61833] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:44.232454 2022] [php:error] [pid 120573] [client 192.168.2.114:61838] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98582528 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:44.241494 2022] [php:error] [pid 120573] [client 192.168.2.114:61838] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 99364864 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/symfony/http-foundation/Response.php on line 360
[Mon Oct 31 01:18:44.241606 2022] [php:error] [pid 120573] [client 192.168.2.114:61838] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98566144 bytes) in Unknown on line 0
[Mon Oct 31 01:18:45.765449 2022] [php:error] [pid 120600] [client 192.168.2.114:61843] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98582528 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:45.773766 2022] [php:error] [pid 120600] [client 192.168.2.114:61843] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 99364864 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/symfony/http-foundation/Response.php on line 360
[Mon Oct 31 01:18:45.773882 2022] [php:error] [pid 120600] [client 192.168.2.114:61843] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98566144 bytes) in Unknown on line 0
[Mon Oct 31 01:18:46.729375 2022] [php:error] [pid 120627] [client 192.168.2.114:61847] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98582528 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 10
[Mon Oct 31 01:18:46.738928 2022] [php:error] [pid 120627] [client 192.168.2.114:61847] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 99364864 bytes) in /srv/users/svkizypf/xtxerfg-m1/vendor/symfony/http-foundation/Response.php on line 360
[Mon Oct 31 01:18:46.739356 2022] [php:error] [pid 120627] [client 192.168.2.114:61847] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98566144 bytes) in Unknown on line 0
[Mon Oct 31 02:44:10.750157 2022] [php:error] [pid 49308] [client 192.168.2.114:51914] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 13
[Mon Oct 31 02:44:41.643156 2022] [php:error] [pid 49710] [client 192.168.2.114:51931] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:45:24.310432 2022] [php:error] [pid 49964] [client 192.168.2.114:51935] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:45:26.995465 2022] [php:error] [pid 50151] [client 192.168.2.114:51947] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:45:28.220055 2022] [php:error] [pid 50170] [client 192.168.2.114:51950] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:45:28.449514 2022] [php:error] [pid 50171] [client 192.168.2.114:51952] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:45:29.427691 2022] [php:error] [pid 50224] [client 192.168.2.114:51953] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:50:00.797617 2022] [php:error] [pid 53462] [client 192.168.2.114:60263] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:52:15.002624 2022] [php:error] [pid 55257] [client 192.168.2.114:60314] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
[Mon Oct 31 02:53:51.182200 2022] [php:error] [pid 56297] [client 192.168.2.114:52752] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 98570240 bytes) in /srv/users/svkizypf/xtxerfg-m1/storage/framework/views/76825281de53f187907ab0c8786d5cb109d9bb7f.php on line 11
